estYr	sum	running_total	er_maj	Type	Diff	PercInc
1819	7302.96	7302.96	23	area		
1895	1765.8	9068.76	23	area	1765.8	0.194712397
1917	22070.88	31139.64	23	area	22070.88	0.7087712
1920	48.6	31188.24	23	area	48.6	0.00155828
1927	1636.2	32824.44	23	area	1636.2	0.049847004
1929	2371.68	35196.12	23	area	2371.68	0.0673847
1933	1441.8	36637.92	23	area	1441.8	0.039352671
1935	1914.84	38552.76	23	area	1914.84	0.049668039
1936	107146.8	145699.56	23	area	107146.8	0.735395495
1938	2384.64	148084.2	23	area	2384.64	0.016103271
1939	9146.52	157230.72	23	area	9146.52	0.058172601
1940	1794.96	159025.68	23	area	1794.96	0.011287234
1941	58.32	159084	23	area	58.32	0.000366599
1948	4461.48	163545.48	23	area	4461.48	0.027279751
1951	962.28	164507.76	23	area	962.28	0.005849451
1952	42.12	164549.88	23	area	42.12	0.000255971
1954	1108.08	165657.96	23	area	1108.08	0.006688963
1956	842.4	166500.36	23	area	842.4	0.005059449
1959	61.56	166561.92	23	area	61.56	0.000369592
1961	1749.6	168311.52	23	area	1749.6	0.01039501
1962	427.68	168739.2	23	area	427.68	0.002534562
1963	1934.28	170673.48	23	area	1934.28	0.011333219
1967	784.08	171457.56	23	area	784.08	0.004573027
1968	2660.04	174117.6	23	area	2660.04	0.015277261
1969	567	174684.6	23	area	567	0.00324585
1970	51.84	174736.44	23	area	51.84	0.000296675
1971	991.44	175727.88	23	area	991.44	0.005641905
1972	1490.4	177218.28	23	area	1490.4	0.008409968
1973	395.28	177613.56	23	area	395.28	0.002225506
1974	2015.28	179628.84	23	area	2015.28	0.011219134
1975	2698.92	182327.76	23	area	2698.92	0.014802573
1976	427.68	182755.44	23	area	427.68	0.002340177
1977	703.08	183458.52	23	area	703.08	0.003832365
1978	3330.72	186789.24	23	area	3330.72	0.017831434
1979	625.32	187414.56	23	area	625.32	0.00333656
1980	1283.04	188697.6	23	area	1283.04	0.006799451
1981	1665.36	190362.96	23	area	1665.36	0.008748341
1982	479.52	190842.48	23	area	479.52	0.002512648
1983	793.8	191636.28	23	area	793.8	0.004142222
1984	900.72	192537	23	area	900.72	0.004678166
1985	1571.4	194108.4	23	area	1571.4	0.008095477
1986	1503.36	195611.76	23	area	1503.36	0.007685428
1987	2222.64	197834.4	23	area	2222.64	0.011234851
1988	3243.24	201077.64	23	area	3243.24	0.016129292
1989	4432.32	205509.96	23	area	4432.32	0.021567422
1990	3518.64	209028.6	23	area	3518.64	0.016833295
1991	1752.84	210781.44	23	area	1752.84	0.008315912
1992	362.88	211144.32	23	area	362.88	0.001718635
1993	1882.44	213026.76	23	area	1882.44	0.008836636
1994	1082.16	214108.92	23	area	1082.16	0.00505425
1995	2439.72	216548.64	23	area	2439.72	0.011266383
1996	2222.64	218771.28	23	area	2222.64	0.010159652
1997	1911.6	220682.88	23	area	1911.6	0.008662203
1998	4772.52	225455.4	23	area	4772.52	0.021168355
1999	4118.04	229573.44	23	area	4118.04	0.017937789
2000	7387.2	236960.64	23	area	7387.2	0.031174798
2001	6648.48	243609.12	23	area	6648.48	0.027291589
2002	7293.24	250902.36	23	area	7293.24	0.029068041
2003	7471.44	258373.8	23	area	7471.44	0.028917173
2004	10423.08	268796.88	23	area	10423.08	0.038776789
2005	11929.68	280726.56	23	area	11929.68	0.04249573
2006	15305.76	296032.32	23	area	15305.76	0.051703003
2007	16177.32	312209.64	23	area	16177.32	0.051815569
2008	7597.8	319807.44	23	area	7597.8	0.023757421
2009	13018.32	332825.76	23	area	13018.32	0.03911452
2010	6330.96	339156.72	23	area	6330.96	0.018666769
2011	6684.12	345840.84	23	area	6684.12	0.019327156
2012	3295.08	349135.92	23	area	3295.08	0.009437814
2013	7150.68	356286.6	23	area	7150.68	0.020070022
2014	6483.24	362769.84	23	area	6483.24	0.017871497
2015	42.12	362811.96	23	area	42.12	0.000116093
1800	460.08	460.08	1	area		
1870	19495.08	19955.16	1	area	19495.08	0.976944309
1903	463.32	20418.48	1	area	463.32	0.022691209
1909	116.64	20535.12	1	area	116.64	0.005680025
1915	1723.68	22258.8	1	area	1723.68	0.077438137
1916	29130.84	51389.64	1	area	29130.84	0.566862115
1917	144358.2	195747.84	1	area	144358.2	0.737470207
1918	693.36	196441.2	1	area	693.36	0.003529606
1920	389752.56	586193.76	1	area	389752.56	0.664886914
1926	290984.4	877178.16	1	area	290984.4	0.331727821
1927	113.4	877291.56	1	area	113.4	0.000129261
1930	272.16	877563.72	1	area	272.16	0.000310131
1935	1496.88	879060.6	1	area	1496.88	0.001702818
1936	594721.44	1473782.04	1	area	594721.44	0.403534189
1938	1458	1475240.04	1	area	1458	0.000988314
1940	382.32	1475622.36	1	area	382.32	0.000259091
1941	2546.64	1478169	1	area	2546.64	0.001722834
1944	405	1478574	1	area	405	0.000273913
1951	69792.84	1548366.84	1	area	69792.84	0.045075132
1952	690.12	1549056.96	1	area	690.12	0.00044551
1954	11084.04	1560141	1	area	11084.04	0.007104512
1956	139.32	1560280.32	1	area	139.32	8.92916E-05
1959	291.6	1560571.92	1	area	291.6	0.000186855
1963	5611.68	1566183.6	1	area	5611.68	0.003583028
1964	93.96	1566277.56	1	area	93.96	5.99894E-05
1965	1927.8	1568205.36	1	area	1927.8	0.001229303
1966	14356.44	1582561.8	1	area	14356.44	0.009071646
1968	5115.96	1587677.76	1	area	5115.96	0.003222291
1970	421.2	1588098.96	1	area	421.2	0.000265223
1971	382.32	1588481.28	1	area	382.32	0.000240683
1972	1607.04	1590088.32	1	area	1607.04	0.001010661
1973	797.04	1590885.36	1	area	797.04	0.000501004
1974	11757.96	1602643.32	1	area	11757.96	0.007336604
1975	10727.64	1613370.96	1	area	10727.64	0.006649209
1976	3427.92	1616798.88	1	area	3427.92	0.002120189
1977	1535.76	1618334.64	1	area	1535.76	0.000948976
1978	366.12	1618700.76	1	area	366.12	0.000226181
1979	90.72	1618791.48	1	area	90.72	5.60418E-05
1980	1266.84	1620058.32	1	area	1266.84	0.000781972
1984	476.28	1620534.6	1	area	476.28	0.000293903
1985	181.44	1620716.04	1	area	181.44	0.000111951
1986	923.4	1621639.44	1	area	923.4	0.000569424
1988	246.24	1621885.68	1	area	246.24	0.000151823
1989	149.04	1622034.72	1	area	149.04	9.18846E-05
1990	1098.36	1623133.08	1	area	1098.36	0.000676691
1991	793.8	1623926.88	1	area	793.8	0.000488815
1992	2653.56	1626580.44	1	area	2653.56	0.001631373
1993	9000.72	1635581.16	1	area	9000.72	0.005503071
1994	2128.68	1637709.84	1	area	2128.68	0.001299791
1995	1088.64	1638798.48	1	area	1088.64	0.000664292
1996	8174.52	1646973	1	area	8174.52	0.00496336
1997	8187.48	1655160.48	1	area	8187.48	0.004946638
1998	23347.44	1678507.92	1	area	23347.44	0.013909639
1999	3437.64	1681945.56	1	area	3437.64	0.002043847
2000	10915.56	1692861.12	1	area	10915.56	0.006447995
2001	4412.88	1697274	1	area	4412.88	0.002599981
2002	1454.76	1698728.76	1	area	1454.76	0.000856382
2003	4762.8	1703491.56	1	area	4762.8	0.002795905
2004	6347.16	1709838.72	1	area	6347.16	0.00371214
2005	10863.72	1720702.44	1	area	10863.72	0.006313538
2006	4432.32	1725134.76	1	area	4432.32	0.00256926
2007	3369.6	1728504.36	1	area	3369.6	0.001949431
2008	4808.16	1733312.52	1	area	4808.16	0.002773972
2009	2948.4	1736260.92	1	area	2948.4	0.001698132
2010	2491.56	1738752.48	1	area	2491.56	0.001432958
2011	1419.12	1740171.6	1	area	1419.12	0.000815506
2012	1801.44	1741973.04	1	area	1801.44	0.001034138
2013	1837.08	1743810.12	1	area	1837.08	0.001053486
2014	716.04	1744526.16	1	area	716.04	0.00041045
2015	304.56	1744830.72	1	area	304.56	0.00017455
1819	1172.88	1172.88	23	core		
1895	826.2	1999.08	23	core	826.2	0.413290113
1917	19582.56	21581.64	23	core	19582.56	0.907371266
1920	6.48	21588.12	23	core	6.48	0.000300165
1927	962.28	22550.4	23	core	962.28	0.042672414
1929	1445.04	23995.44	23	core	1445.04	0.060221442
1933	845.64	24841.08	23	core	845.64	0.034041998
1935	680.4	25521.48	23	core	680.4	0.026659896
1936	85552.2	111073.68	23	core	85552.2	0.770229275
1938	1296	112369.68	23	core	1296	0.01153336
1939	5592.24	117961.92	23	core	5592.24	0.047407163
1940	946.08	118908	23	core	946.08	0.007956403
1941	9.72	118917.72	23	core	9.72	8.17372E-05
